regiao_geo,estado,codmun,nomemun,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Centro-Oeste,Distrito Federal,530010,Brasília,94.19531,86.47621,93.65354,100.00000,94.34444,74.92193,100.00000,84.40901,86.03411,84.31835,81.46204
Centro-Oeste,Goiás,520005,Abadia de Goiás,100.00000,100.00000,91.17647,100.00000,83.21678,100.00000,94.15584,100.00000,80.50000,82.65306,69.38776
Centro-Oeste,Goiás,520010,Abadiânia,100.00000,100.00000,100.00000,100.00000,77.56098,55.48780,52.91262,60.67961,85.93750,72.54902,77.94118
Centro-Oeste,Goiás,520013,Acreúna,100.00000,100.00000,100.00000,100.00000,77.95527,100.00000,81.16438,88.35616,100.00000,92.25092,80.07380
Centro-Oeste,Goiás,520015,Adelândia,100.00000,48.14815,100.00000,100.00000,100.00000,92.30769,100.00000,100.00000,96.00000,100.00000,100.00000
Centro-Oeste,Goiás,520017,Água Fria de Goiás,100.00000,100.00000,73.33333,100.00000,41.50943,70.58824,100.00000,100.00000,100.00000,100.00000,100.00000
Centro-Oeste,Goiás,520020,Água Limpa,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,82.60870,100.00000,100.00000,100.00000,68.18182
Centro-Oeste,Goiás,520025,Águas Lindas de Goiás,100.00000,93.20740,84.48553,87.41673,89.42934,100.00000,37.77704,59.04730,70.93558,91.39743,90.69677
Centro-Oeste,Goiás,520030,Alexânia,100.00000,100.00000,95.95016,100.00000,97.94721,81.31579,93.23308,95.48872,83.49754,80.09153,63.61556
Centro-Oeste,Goiás,520050,Aloândia,62.50000,54.16667,87.50000,82.60870,100.00000,100.00000,87.50000,62.50000,60.86957,60.00000,100.00000
Centro-Oeste,Goiás,520055,Alto Horizonte,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,87.80488,95.93496
Centro-Oeste,Goiás,520060,Alto Paraíso de Goiás,100.00000,100.00000,100.00000,100.00000,83.83838,94.05941,100.00000,100.00000,79.54545,57.93103,80.68966
Centro-Oeste,Goiás,520080,Alvorada do Norte,89.33333,87.33333,100.00000,100.00000,59.18367,100.00000,84.32836,84.32836,93.70079,96.32353,97.05882
Centro-Oeste,Goiás,520082,Amaralina,100.00000,100.00000,100.00000,75.86207,60.00000,95.23810,100.00000,86.36364,88.00000,65.38462,88.46154
Centro-Oeste,Goiás,520085,Americano do Brasil,92.06349,100.00000,100.00000,100.00000,65.97938,97.43590,90.00000,77.50000,100.00000,72.61905,89.28571
Centro-Oeste,Goiás,520090,Amorinópolis,73.33333,66.66667,95.55556,87.80488,56.09756,100.00000,73.17073,70.73171,100.00000,78.94737,100.00000
Centro-Oeste,Goiás,520110,Anápolis,78.77243,98.24363,93.95656,100.00000,100.00000,95.07414,78.94994,86.77646,81.89838,75.14917,77.14885
Centro-Oeste,Goiás,520120,Anhanguera,90.00000,100.00000,100.00000,100.00000,100.00000,30.76923,100.00000,100.00000,61.53846,42.85714,100.00000
Centro-Oeste,Goiás,520130,Anicuns,100.00000,100.00000,70.58824,98.13084,47.98206,100.00000,45.83333,70.37037,60.33058,100.00000,98.97959
Centro-Oeste,Goiás,520140,Aparecida de Goiânia,97.19530,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,65.44706,73.07250,83.47683,67.40947
Centro-Oeste,Goiás,520145,Aparecida do Rio Doce,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000
Centro-Oeste,Goiás,520150,Aporé,100.00000,100.00000,84.74576,100.00000,100.00000,77.14286,73.23944,69.01408,65.62500,80.00000,69.23077
Centro-Oeste,Goiás,520160,Araçu,86.66667,86.66667,100.00000,100.00000,100.00000,96.77419,76.08696,84.78261,100.00000,49.12281,50.87719
Centro-Oeste,Goiás,520170,Aragarças,80.39867,86.04651,87.04319,84.61538,77.00348,91.13475,67.85714,66.55844,73.51779,100.00000,69.95885
Centro-Oeste,Goiás,520180,Aragoiânia,100.00000,89.47368,92.98246,100.00000,59.82906,61.41732,75.22124,100.00000,93.93939,88.18898,100.00000
Centro-Oeste,Goiás,520215,Araguapaz,77.08333,100.00000,94.79167,100.00000,81.08108,100.00000,100.00000,100.00000,100.00000,82.60870,48.91304
Centro-Oeste,Goiás,520235,Arenópolis,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,65.11628,88.37209,100.00000,100.00000,87.17949
Centro-Oeste,Goiás,520250,Aruanã,100.00000,100.00000,100.00000,100.00000,89.74359,87.12871,46.47887,50.00000,99.00990,68.33333,75.00000
Centro-Oeste,Goiás,520260,Aurilândia,100.00000,100.00000,100.00000,80.95238,51.35135,100.00000,88.57143,97.14286,100.00000,82.14286,75.00000
Centro-Oeste,Goiás,520280,Avelinópolis,100.00000,93.93939,93.93939,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000
Centro-Oeste,Goiás,520310,Baliza,67.64706,76.47059,85.29412,56.09756,64.51613,55.26316,44.00000,44.00000,79.16667,80.64516,90.32258
Centro-Oeste,Goiás,520320,Barro Alto,100.00000,79.47368,95.26316,68.10811,82.58427,82.35294,52.34899,90.60403,100.00000,100.00000,97.71429
Centro-Oeste,Goiás,520330,Bela Vista de Goiás,96.39344,97.70492,92.45902,100.00000,100.00000,83.28767,52.60274,87.39726,81.67539,74.83731,44.68547
Centro-Oeste,Goiás,520340,Bom Jardim de Goiás,100.00000,98.83721,100.00000,100.00000,56.63717,100.00000,100.00000,80.55556,100.00000,100.00000,100.00000
Centro-Oeste,Goiás,520350,Bom Jesus de Goiás,100.00000,100.00000,100.00000,100.00000,100.00000,99.29329,98.51190,100.00000,91.54519,97.45042,87.81870
Centro-Oeste,Goiás,520355,Bonfinópolis,84.15842,100.00000,100.00000,100.00000,100.00000,79.81651,80.53097,86.72566,100.00000,100.00000,100.00000
Centro-Oeste,Goiás,520357,Bonópolis,100.00000,95.45455,100.00000,100.00000,80.00000,87.17949,100.00000,89.74359,100.00000,83.33333,100.00000
Centro-Oeste,Goiás,520360,Brazabrantes,100.00000,100.00000,100.00000,100.00000,85.36585,100.00000,100.00000,100.00000,98.00000,76.00000,70.00000
