Região,Município,CodMuns,Estado,Média Cob Vac,Média At Pr,Média Plano,IDHm,Média Var CobVac,Média Var At Pr,Média Var Plano,gini,IDHm_renda,Tipo_Urb,pop_area,Média_pop,Média_pop0a4,Média_pct_pop0a4,area_km2,Densidade,pct_san_adeq,média_familias_bf,média_pct_ben_bf
Centro Oeste,Brasília,530010,Distrito Federal,89.0740846,57.1190909,29.5262557,0.824,-0.0049361,0.0263182,0.0231896,0.637,0.863,Urban,530.335627928421,2849514.0,202987.0,0.0713844,5760.784,494.64,0.8505214,85406.0,0.1205646
Centro Oeste,Abadia de Goiás,520005,Goiás,91.008174,96.5809091,10.7775602,0.708,-0.0282733,0.0011755,0.0528156,0.4258,0.687,Urban,60.8328353343837,8007.0,619.0,0.0772497,147.256,54.38,0.3419815,635.0,0.3117744
Centro Oeste,Abadiânia,520010,Goiás,80.2789736,98.9045455,2.0856519,0.689,-0.0073821,0.001651,0.0468214,0.4427,0.671,Rural,19.5775250280588,18278.0,1278.0,0.0698858,1045.127,17.49,0.7388107,683.0,0.1504085
Centro Oeste,Acreúna,520013,Goiás,92.7091403,94.4745455,11.4114568,0.686,-0.0115117,0.0168649,0.144154,0.5419,0.71,Urban,14.3972178746192,21594.0,1587.0,0.0734973,1565.997,13.79,0.1701643,1143.0,0.2132328
Centro Oeste,Adelândia,520015,Goiás,94.2232582,100.0,2.0140281,0.702,0.0566481,0.0,0.0175138,0.4325,0.664,Rural,21.8113096321725,2519.0,157.0,0.062294,115.353,21.84,0.2188739,199.0,0.316281
Centro Oeste,Água Fria de Goiás,520017,Goiás,89.5846366,100.0,3.0488705,0.671,0.0629265,0.0,0.159645,0.6123,0.672,Rural,2.85451578188011,5486.0,460.0,0.0838641,2029.416,2.7,0.0086923,508.0,0.3707248
Centro Oeste,Água Limpa,520020,Goiás,95.5264103,100.0,4.8555202,0.722,-0.0281569,0.0,0.0329488,0.4658,0.691,Rural,4.04100181513852,1938.0,113.0,0.0584138,452.858,4.28,0.0712543,171.0,0.3539834
Centro Oeste,Águas Lindas de Goiás,520025,Goiás,82.2175565,31.4227273,3.4143206,0.686,0.0437361,-0.0023073,0.0920553,0.4516,0.647,Urban,1131.53353569795,190302.0,19503.0,0.1024336,192.392,989.14,0.186579,15665.0,0.3270596
Centro Oeste,Alexânia,520030,Goiás,90.1035995,87.07,5.5309324,0.682,-0.0389952,0.0092984,0.0252371,0.4817,0.664,Semi-Urban,33.0348286871103,26148.0,2094.0,0.0800726,847.893,30.84,0.1841845,2204.0,0.3364169
Centro Oeste,Aloândia,520050,Goiás,77.9677207,100.0,5.8017942,0.697,0.0852257,0.0,0.110876,0.4528,0.694,Rural,19.4400939702428,2036.0,111.0,0.0543629,102.16,19.93,0.2265326,152.0,0.2993315
Centro Oeste,Alto Horizonte,520055,Goiás,98.5218034,97.8709091,27.3232247,0.719,-0.0029359,0.0071624,-0.0282224,0.5026,0.709,Rural,13.1112981475453,5612.0,479.0,0.0851874,503.764,11.14,0.0167719,346.0,0.2433504
Centro Oeste,Alto Paraíso de Goiás,520060,Goiás,90.5512667,100.0,3.5941243,0.713,-0.0059957,0.0,0.0929888,0.6556,0.723,Rural,2.96387221732184,7352.0,672.0,0.0913546,2593.904,2.83,0.4441433,561.0,0.3069074
Centro Oeste,Alvorada do Norte,520080,Goiás,90.1445634,100.0,3.0410008,0.66,0.0394192,0.0,0.0024981,0.498,0.64,Urban,6.91220820635145,8470.0,701.0,0.0827948,1259.366,6.73,0.2233564,897.0,0.4241656
Centro Oeste,Amaralina,520082,Goiás,87.2099959,100.0,0.6733894,0.609,0.0165363,0.0,0.0644594,0.5645,0.569,Rural,2.86248815361697,3670.0,231.0,0.0628346,1343.237,2.73,0.3297081,462.0,0.5029227
