codigo_ibge,CodMun,nome,capital,uf,nome_uf,cod_ibge,rm,gini,pib_cap,area_km2,white,black_brown,asian,indigenous,idhm,idhm_educ,idhm_long,idhm_renda,dist_to_capital,pricare_cov,fhs_cov,qt_hcw,type_urban,population_2020,pop_area,hcw_100k
5200050,520005,Abadia de Goiás,0,GO,Goiás,5200050,1,0.4258,26505.89,147.256,41.33,56.53,2.04,0.1,0.708,0.622,0.83,0.687,21.8553877731918,100,100,135,Urban,8958,60.8328353343837,150.703281982585
3100104,310010,Abadia dos Dourados,0,MG,Minas Gerais,3100104,0,0.4738,18353.48,880.461,69.78,29.93,0.28,0.01,0.689,0.563,0.839,0.693,398.655109891015,100,98.97,134,Rural,7006,7.95719515117649,191.264630316871
5200100,520010,Abadiânia,0,GO,Goiás,5200100,1,0.4427,16132.95,1045.127,39.85,55.93,4.09,0.13,0.689,0.579,0.841,0.671,78.9774036115397,87.95,87.95,256,Rural,20461,19.5775250280588,125.116074483163
3100203,310020,Abaeté,0,MG,Minas Gerais,3100203,0,0.551,21286.43,1817.067,54.18,44.79,0.9,0.13,0.698,0.556,0.848,0.72,181.446324429819,100,89.14,450,Urban,23250,12.7953454660725,193.548387096774
1500107,150010,Abaetetuba,0,PA,Pará,1500107,0,0.5389,9046.13,1610.654,21.74,77.64,0.56,0.06,0.628,0.537,0.798,0.579,52.8884942195371,52.88,44.15,1837,Urban,159080,98.7673330212448,115.476489816445
2300101,230010,Abaiara,0,CE,Ceará,2300101,0,0.488,7360.5,180.833,27.86,71.48,0.66,0.01,0.628,0.612,0.748,0.54,404.96014048894,100,100,138,Rural,11853,65.5466646021467,116.42622120982
2900108,290010,Abaíra,0,BA,Bahia,2900108,0,0.4742,6794.21,538.677,45.17,54.31,0.48,0.05,0.603,0.51,0.746,0.577,345.105419126744,100,100,132,Rural,8710,16.169244278111,151.549942594719
2900207,290020,Abaré,0,BA,Bahia,2900207,0,0.5621,6957.04,1604.923,12.06,81.91,1.75,4.28,0.575,0.46,0.776,0.533,479.630856470682,100,100,213,Rural,20347,12.6778667886248,104.683737160269
4100103,410010,Abatiá,0,PR,Paraná,4100103,0,0.4424,21529.76,228.717,69.01,29.24,0.46,1.29,0.687,0.596,0.804,0.676,258.721694896761,85.92,45.96,70,Rural,7408,32.3893720186956,94.4924406047516
4200051,420005,Abdon Batista,0,SC,Santa Catarina,4200051,1,0.4597,24517.73,237.517,82.55,17.34,0.11,0,0.694,0.625,0.812,0.66,244.609511259984,100,100,46,Rural,2548,10.7276531785093,180.533751962323
1500131,150013,Abel Figueiredo,0,PA,Pará,1500131,0,0.5825,11136.56,614.131,24.41,74.13,1.3,0.16,0.622,0.481,0.8,0.625,386.221077410064,100,100,103,Semi-Urban,7486,12.1895817016239,137.590168314187
4200101,420010,Abelardo Luz,0,SC,Santa Catarina,4200101,1,0.5445,39108.44,953.992,64.03,33.43,0.6,1.94,0.696,0.578,0.852,0.684,392.567515150499,100,100,323,Rural,17960,18.8261536784376,179.844097995546
3100302,310030,Abre Campo,0,MG,Minas Gerais,3100302,0,0.5225,13938.86,470.551,41,58.03,0.97,0,0.654,0.525,0.823,0.646,156.425446032141,100,100,233,Rural,13444,28.5707606614373,173.311514430229
