Estado,Região,CodMun,Município,Média Cob Vac,Média At Pr,Média Plano,IDHm,Média Var CobVac,Média Var At Pr,Média Var Plano
Distrito Federal,Centro Oeste,530010,Brasília,89.0740846,57.1190909,29.5262557,0.824,-0.0049361,0.0263182,0.0231896
Goiás,Centro Oeste,520005,Abadia de Goiás,91.0081740,96.5809091,10.7775602,0.708,-0.0282733,0.0011755,0.0528156
Goiás,Centro Oeste,520010,Abadiânia,80.2789736,98.9045455,2.0856519,0.689,-0.0073821,0.0016510,0.0468214
Goiás,Centro Oeste,520013,Acreúna,92.7091403,94.4745455,11.4114568,0.686,-0.0115117,0.0168649,0.1441540
Goiás,Centro Oeste,520015,Adelândia,94.2232582,100.0000000,2.0140281,0.702,0.0566481,0.0000000,0.0175138
Goiás,Centro Oeste,520017,Água Fria de Goiás,89.5846366,100.0000000,3.0488705,0.671,0.0629265,0.0000000,0.1596450
Goiás,Centro Oeste,520020,Água Limpa,95.5264103,100.0000000,4.8555202,0.722,-0.0281569,0.0000000,0.0329488
Goiás,Centro Oeste,520025,Águas Lindas de Goiás,82.2175565,31.4227273,3.4143206,0.686,0.0437361,-0.0023073,0.0920553
Goiás,Centro Oeste,520030,Alexânia,90.1035995,87.0700000,5.5309324,0.682,-0.0389952,0.0092984,0.0252371
Goiás,Centro Oeste,520050,Aloândia,77.9677207,100.0000000,5.8017942,0.697,0.0852257,0.0000000,0.1108760
Goiás,Centro Oeste,520055,Alto Horizonte,98.5218034,97.8709091,27.3232247,0.719,-0.0029359,0.0071624,-0.0282224
Goiás,Centro Oeste,520060,Alto Paraíso de Goiás,90.5512667,100.0000000,3.5941243,0.713,-0.0059957,0.0000000,0.0929888
Goiás,Centro Oeste,520080,Alvorada do Norte,90.1445634,100.0000000,3.0410008,0.66,0.0394192,0.0000000,0.0024981
Goiás,Centro Oeste,520082,Amaralina,87.2099959,100.0000000,0.6733894,0.609,0.0165363,0.0000000,0.0644594
Goiás,Centro Oeste,520085,Americano do Brasil,89.5348666,96.0418182,6.1830936,0.7,0.0253580,-0.0435400,-0.0778464
Goiás,Centro Oeste,520090,Amorinópolis,82.0279820,98.4027273,1.3563047,0.681,0.0851118,0.0010851,0.0979073
Goiás,Centro Oeste,520110,Anápolis,87.8154142,58.9236364,18.0940916,0.737,0.0036131,0.0251325,0.0393930
Goiás,Centro Oeste,520120,Anhanguera,84.1058941,100.0000000,9.4343583,0.725,0.2313950,0.0000000,0.0330604
Goiás,Centro Oeste,520130,Anicuns,81.1104557,100.0000000,6.2911426,0.714,0.1167488,0.0000000,0.0283579
Goiás,Centro Oeste,520140,Aparecida de Goiânia,89.6910135,42.2827273,15.4131221,0.718,-0.0250253,0.0482089,0.0484203
Goiás,Centro Oeste,520145,Aparecida do Rio Doce,100.0000000,100.0000000,3.1875386,0.693,0.0000000,0.0000000,0.0768892
Goiás,Centro Oeste,520150,Aporé,83.5452646,88.1163636,3.2212454,0.693,-0.0274081,0.0092172,0.0540739
Goiás,Centro Oeste,520160,Araçu,84.6342811,100.0000000,2.8899848,0.693,-0.0271465,0.0000000,0.0337626
Goiás,Centro Oeste,520170,Aragarças,80.3758374,100.0000000,4.6235414,0.732,0.0037300,0.0000000,0.0031251
Goiás,Centro Oeste,520180,Aragoiânia,87.3683757,100.0000000,4.2467711,0.684,0.0200538,0.0000000,0.0627989
