CodMun,regiao_geo,Estado,Mun,Média_pop,Média_pop0a4,Média_pct_pop0a4,area_km2,Densidade,pct_san_adeq,média_familias_bf,média_pct_ben_bf
120001,Norte,Acre,Acrelândia,14299,1447,0.1014824,1811.613,7.89,0.1039676,1608,0.4477783
120005,Norte,Acre,Assis Brasil,6941,861,0.1244828,4979.073,1.39,0.2197317,1040,0.5927653
120010,Norte,Acre,Brasiléia,24539,2319,0.0948821,3928.174,6.25,0.2707727,3004,0.4867214
120013,Norte,Acre,Bujari,9638,982,0.1022259,3034.869,3.18,0.1806970,1175,0.4840910
120017,Norte,Acre,Capixaba,10610,1118,0.1057547,1705.824,6.22,0.3173548,1187,0.4446895
120020,Norte,Acre,Cruzeiro do Sul,85531,9312,0.1090757,8783.47,9.74,0.1213083,9501,0.4434646
120025,Norte,Acre,Epitaciolândia,17242,1647,0.0959770,1652.674,10.43,0.2043925,1581,0.3654412
120030,Norte,Acre,Feijó,34356,4555,0.1326712,27976.874,1.23,0.0889815,4620,0.5374432
120032,Norte,Acre,Jordão,7677,1348,0.1760188,5357.227,1.43,0.0413874,1110,0.5745934
120033,Norte,Acre,Mâncio Lima,17608,2179,0.1242227,5451.617,3.23,0.0759581,2621,0.5905314
120034,Norte,Acre,Manoel Urbano,8961,1144,0.1280144,10630.6,0.84,0.1218926,1358,0.6015538
120035,Norte,Acre,Marechal Thaumaturgo,17097,2711,0.1593063,8190.953,2.09,0.0703362,2197,0.5055757
120038,Norte,Acre,Plácido de Castro,18966,1957,0.1034478,1952.555,9.71,0.1365155,1658,0.3500786
120080,Norte,Acre,Porto Acre,17193,1724,0.1006443,2604.417,6.60,0.1100876,2277,0.5255636
120039,Norte,Acre,Porto Walter,10922,1854,0.1702103,6446.385,1.69,0.0041784,1200,0.4324785
120040,Norte,Acre,Rio Branco,382367,32919,0.0865111,8835.154,43.28,0.5394978,23561,0.2466703
120042,Norte,Acre,Rodrigues Alves,17207,2362,0.1376637,3076.342,5.59,0.0778710,2102,0.4839740
120043,Norte,Acre,Santa Rosa do Purus,5816,1006,0.1735933,6155.858,0.94,0.0234982,742,0.4973731
120050,Norte,Acre,Sena Madureira,43133,4582,0.1065963,23759.512,1.82,0.1188628,5619,0.5183108
120045,Norte,Acre,Senador Guiomard,22157,2166,0.0979627,2320.169,9.55,0.2138413,2982,0.5346925
120060,Norte,Acre,Tarauacá,40176,5617,0.1402229,20169.485,1.99,0.0888476,5343,0.5257568
120070,Norte,Acre,Xapuri,18208,1809,0.0996664,5350.586,3.40,0.2651299,1796,0.3927074
270010,Nordeste,Alagoas,Água Branca,20051,1880,0.0937969,468.229,42.82,0.2654110,2999,0.5984383
270020,Nordeste,Alagoas,Anadia,17626,1483,0.0841429,186.134,94.70,0.1823513,2716,0.6164932
270030,Nordeste,Alagoas,Arapiraca,226222,17424,0.0771316,345.655,654.47,0.1856623,22843,0.4049116
270040,Nordeste,Alagoas,Atalaia,46419,4454,0.0960150,533.258,87.05,0.2227827,7676,0.6617081
270050,Nordeste,Alagoas,Barra de Santo Antônio,15351,1416,0.0923830,131.364,116.86,0.2264462,2972,0.7705851
270060,Nordeste,Alagoas,Barra de São Miguel,8080,709,0.0878963,74.247,108.83,0.5041898,1037,0.5123341
270070,Nordeste,Alagoas,Batalha,17779,1447,0.0814857,315.87,56.29,0.2054268,3008,0.6761558
